"","date","city_name","province_level_region","city_type","latitude","longitude","temperature_2m_mean_c","temperature_2m_min_c","temperature_2m_max_c","apparent_temperature_max_c","precipitation_sum_mm","rain_sum_mm","wind_speed_10m_max_kmh","shortwave_radiation_sum_mj_m2","pm2_5_mean_ug_m3","pm10_mean_ug_m3","nitrogen_dioxide_mean_ug_m3","ozone_mean_ug_m3","us_aqi_daily_max","european_aqi_daily_max"
"22","2023-01-22","Shanghai","Shanghai","Municipality",31.2304,121.4737,8,6.6,11.3,9.4,8.1,8.1,15.5,3.57,31.429,46.867,68.296,8.875,92,65
"23","2023-01-23","Shanghai","Shanghai","Municipality",31.2304,121.4737,6.7,3.5,8,5,3.4,3.4,31.9,1.62,23.242,37.637,68.792,7.375,93,65
"24","2023-01-24","Shanghai","Shanghai","Municipality",31.2304,121.4737,-1.2,-5.2,2.8,-4.1,0,0,36.2,14.32,20.042,30.558,41.367,35.042,77,53
"25","2023-01-25","Shanghai","Shanghai","Municipality",31.2304,121.4737,-2.9,-6.3,1.1,-2.3,0,0,16.8,13.09,35.175,51.029,63.496,18.958,98,68
"26","2023-01-26","Shanghai","Shanghai","Municipality",31.2304,121.4737,1.8,-3,7.6,4.2,0,0,19.1,14.47,58.667,85.475,89.887,7.292,152,87
"27","2023-01-27","Shanghai","Shanghai","Municipality",31.2304,121.4737,0.5,-3.1,3.6,-3.6,0,0,32.6,14.01,41.262,64.438,52.833,21.417,152,87
"28","2023-01-28","Shanghai","Shanghai","Municipality",31.2304,121.4737,-0.7,-5.1,4.9,-0.7,0,0,18.7,15.29,77.592,111.154,91.367,12.083,161,96
"29","2023-01-29","Shanghai","Shanghai","Municipality",31.2304,121.4737,1.7,-4.1,9.3,3.8,0,0,19.5,15.19,80.254,115.758,93.192,10.792,179,117
"30","2023-01-30","Shanghai","Shanghai","Municipality",31.2304,121.4737,3.4,-3.8,12.1,9.2,0,0,14.7,15.22,96.583,140.158,114.154,11.917,185,123
"31","2023-01-31","Shanghai","Shanghai","Municipality",31.2304,121.4737,7.7,2,16.9,14.2,0,0,15.7,15.12,70.392,101.679,100.192,19.833,179,117
"32","2023-02-01","Shanghai","Shanghai","Municipality",31.2304,121.4737,6.8,2.3,11.6,6.9,0,0,28.9,9.54,71.617,113.087,99.833,18.875,179,117
"33","2023-02-02","Shanghai","Shanghai","Municipality",31.2304,121.4737,4.6,1.4,7.6,3,0.4,0.4,19,7.68,20.662,34.642,49.046,28.917,162,97
"34","2023-02-03","Shanghai","Shanghai","Municipality",31.2304,121.4737,4.7,2,7.9,4,0.7,0.7,13.7,11.51,29.483,46.85,64.279,13.125,87,63
"35","2023-02-04","Shanghai","Shanghai","Municipality",31.2304,121.4737,4.3,0.6,8.9,5.2,0,0,16.9,14.85,43.146,71.508,75.575,16.75,118,74
"36","2023-02-05","Shanghai","Shanghai","Municipality",31.2304,121.4737,6.8,1.5,11.5,8.2,1.2,1.2,16.1,8.91,41.371,75.933,76.096,29.583,126,77
"37","2023-02-06","Shanghai","Shanghai","Municipality",31.2304,121.4737,8.7,7.8,10.5,8.6,8.8,8.8,14.8,2.15,27.667,43.575,76.296,13.5,115,73
"38","2023-02-07","Shanghai","Shanghai","Municipality",31.2304,121.4737,8.3,6.3,11.5,8,1.6,1.6,16.7,8.62,27.337,45.912,69.996,18.708,85,62
"39","2023-02-08","Shanghai","Shanghai","Municipality",31.2304,121.4737,7.4,5.3,9.8,5.6,0.7,0.7,20.2,6.03,35.717,61.546,74.271,18.792,111,72
"40","2023-02-09","Shanghai","Shanghai","Municipality",31.2304,121.4737,8.4,7.1,10.4,8.1,14.1,14.1,18.7,2.67,34.796,56.304,62.2,25.667,101,69
"41","2023-02-10","Shanghai","Shanghai","Municipality",31.2304,121.4737,6.8,5.4,8.6,4.9,0,0,17.5,5.64,19.2,29.338,64.429,18.542,99,68
"42","2023-02-11","Shanghai","Shanghai","Municipality",31.2304,121.4737,8,5.2,9.5,6.7,7.2,7.2,15.8,2.89,20.5,32.275,68.921,19.417,74,48
"43","2023-02-12","Shanghai","Shanghai","Municipality",31.2304,121.4737,12.2,8.8,17.9,16.4,14.5,14.5,21.9,4.85,31.525,45.625,74.446,11.25,91,65
"44","2023-02-13","Shanghai","Shanghai","Municipality",31.2304,121.4737,6.1,3.5,9.4,7,13.5,13.5,28.1,2.95,24.604,39.154,60.567,25.333,97,67
"45","2023-02-14","Shanghai","Shanghai","Municipality",31.2304,121.4737,3.9,2.5,7.1,1.4,0,0,24.1,10.07,21.438,35.637,48.962,37.458,79,58
"46","2023-02-15","Shanghai","Shanghai","Municipality",31.2304,121.4737,4,1.2,7.7,2.7,0,0,20.9,14.88,28.842,47.929,60.275,20.375,87,63
"47","2023-02-16","Shanghai","Shanghai","Municipality",31.2304,121.4737,3.9,-0.8,8.5,6,0,0,13.4,17,39.496,62.912,75.975,18.708,114,73
"48","2023-02-17","Shanghai","Shanghai","Municipality",31.2304,121.4737,9,4.9,14.8,12.2,0.3,0.3,10.2,9.83,39.775,59.883,73.608,17.75,110,72
"49","2023-02-18","Shanghai","Shanghai","Municipality",31.2304,121.4737,13.9,9.6,21.2,20.2,1.5,1.5,14.7,16.13,70.838,103.725,103.196,14.917,163,99
