"","X","sale_id","pinx","sale_date","sale_price","sale_nbr","sale_warning","join_status","join_year","latitude","longitude","area","city","zoning","subdivision","present_use","land_val","imp_val","year_built","year_reno","sqft_lot","sqft","sqft_1","sqft_fbsmt","grade","fbsmt_grade","condition","stories","beds","bath_full","bath_3qtr","bath_half","garb_sqft","gara_sqft","wfnt","golf","greenbelt","noise_traffic","view_rainier","view_olympics","view_cascades","view_territorial","view_skyline","view_sound","view_lakewash","view_lakesamm","view_otherwater","view_other","submarket"
"20922",543480,"2022..32617","..4083801787",2022-11-01,1000000,1,"   ","new",2022,47.663039861184,-122.337000282857,43,"SEATTLE","LR1 (M1)","LAKE UNION 2ND ADD",29,284000,630000,2022,0,891,1680,500,0,7,0,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"20923",543481,"2022..32621","..1085621760",2022-11-08,620000,3,"   ","new",2022,47.3385534637895,-122.18032015831,62,"KENT","SR-3","BRIDGES PUD",2,130000,457000,2013,0,3822,2267,967,0,7,0,3,2,4,2,0,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"L"
"20924",543482,"2022..32627","..1109000330",2022-11-04,1022700,4,"   ","new",2022,47.5387088108239,-122.26884595136,81,"SEATTLE","NR3","BRIGHTON BEACH ORCHARD 2ND SUPL",2,191000,693000,2004,0,3405,2670,880,850,7,7,3,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"E"
"20925",543483,"2022..32638","..6865200569",2022-11-01,809950,1,"   ","new",2022,47.6632509170747,-122.343495283943,42,"SEATTLE","LR2 (M1)","PORTERFIELDS ADD",29,235000,508000,2022,0,1054,1440,480,480,8,8,3,2,3,1,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"B"
"20926",543484,"2022..32639","..7852160210",2022-11-10,2550000,4,"   ","new",2022,47.5355006380096,-121.856771177446,75,"SNOQUALMIE","MU","SNOQUALMIE RIDGE PLAT 9-PARCEL A",2,839000,1595000,2005,0,15792,4100,2060,0,11,0,3,2,5,2,1,0,0,800,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"N"
"20927",543485,"2022..32643","..4379400130",2022-11-01,1550000,3,"   ","new",2022,47.6208752174163,-122.025834525375,35,"SAMMAMISH","R6","LLAMA LANDING",2,525000,1160000,2006,0,5657,2890,1120,530,9,8,3,2,4,2,1,1,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"O"
"20928",543486,"2022..32661","..7462900153",2022-11-04,1560000,4,"   ","new",2022,47.5076738203745,-121.874133700915,80,"KING COUNTY","RA2.5","RUMBOLZ SUNSET HIGHWAY TRS",2,445000,739000,2022,0,72454,3230,2370,0,8,0,3,2,4,3,0,1,0,700,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"N"
"20929",543487,"2022..32662","..7852160120",2022-11-07,3980000,5,"   ","new",2022,47.5353476563422,-121.857853555708,75,"SNOQUALMIE","MU","SNOQUALMIE RIDGE PLAT 9-PARCEL A",2,1103000,2758000,2007,0,16462,6530,4830,0,12,0,3,2,5,2,2,2,0,850,0,1,0,0,0,0,3,4,0,0,0,0,0,3,"N"
"20930",543488,"2022..32670","..1433880140",2022-10-25,955000,1,"   ","new",2022,47.375084664711,-122.126898727437,86,"COVINGTON","R6","CASCARA CREEK",2,345000,300000,2022,0,4794,2720,1140,0,9,0,3,2,4,2,0,1,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"K"
"20931",543489,"2022..32671","..7202360530",2022-10-26,1950000,6,"   ","new",2022,47.6802210790981,-122.023500523036,71,"KING COUNTY","R6","REDMOND RIDGE DIV 12",2,489000,1311000,2004,0,6863,3470,1690,0,9,0,3,2,5,2,1,1,0,770,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"O"
"20932",543490,"2022..32674","..0809000243",2022-10-24,1732000,2,"   ","new",2022,47.6325256051008,-122.350536062916,12,"SEATTLE","LR1 (M)","BIGELOWS ADD",29,350000,1413000,2015,0,1734,2760,1100,700,10,9,3,2,3,1,1,1,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20933",543491,"2022..32679","..0952007082",2022-11-07,690000,4,"   ","new",2022,47.5625466542151,-122.382330488963,48,"SEATTLE","LR2 (M)","BOSTON COMPANYS PLAT OF W S",29,169000,393000,2005,0,1164,1240,480,230,7,7,3,2,3,1,1,1,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"F"
"20934",543492,"2022..32699","..4302200675",2022-11-03,613000,1,"   ","miss99",2022,47.5266328585604,-122.355453013416,77,"SEATTLE","NR3","LIBERTY DIV 01 ADD",2,208000,429000,1962,0,5120,1990,1170,820,7,7,3,1,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"F"
"20935",543493,"2022..32700","..1099950060",2022-11-06,1150000,5,"   ","new",2022,47.7423791353688,-121.97607725363,70,"DUVALL","R4","HERON COVE FKA BRIGHTMOOR",2,209000,1067000,2007,0,16225,3040,1280,580,10,9,3,2,4,3,0,1,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N"
"20936",543494,"2022..32722","..7714000130",2022-11-09,850000,5,"   ","new",2022,47.3562190834559,-122.026279675772,56,"MAPLE VALLEY","R-6","SHANLEMAR MEADOWS",2,224000,583000,2004,0,4418,2890,1240,0,8,0,3,2,5,2,0,1,0,630,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"M"
"20937",543495,"2022..32729","..2475400100",2022-10-31,1200000,5,"   ","new",2022,47.759338757677,-122.167431727685,38,"BOTHELL","R 5400d","FALCON VIEW",2,377000,797000,2002,0,8264,2630,1290,0,8,0,3,2,4,2,0,1,0,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Q"
"20938",543496,"2022..32742","..3626039431",2022-11-08,699500,2,"   ","new",2022,47.6981534847463,-122.366364521612,6,"SEATTLE","LR3 (M)","",29,213000,514000,2018,0,982,1370,480,480,8,8,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"B"
"20939",543497,"2022..32746","..7544800404",2022-11-04,680000,5,"   ","new",2022,47.6067149493635,-122.303408579424,15,"SEATTLE","LR2 (M)","SANDER-BOMAN REAL ESTATE COS 1ST",29,288000,423000,2003,0,1539,1330,530,270,7,7,3,2,3,2,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20940",543498,"2022..32750","..9347300060",2022-10-28,680000,3,"   ","new",2022,47.356302646022,-122.054936685022,56,"MAPLE VALLEY","R-8","WHISPERING MEADOWS",2,218000,500000,2012,0,3825,2130,820,0,8,0,3,2,3,2,0,1,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M"
"20941",543499,"2022..32751","..6821101803",2022-11-04,1060000,1,"   ","new",2022,47.6507181419256,-122.400361943632,11,"SEATTLE","LR1 (M)","PLEASANT VALLEY ADD",29,296000,691000,2021,0,1531,1760,600,0,9,0,3,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"D"
"20942",543500,"2022..32755","..8641500270",2022-11-03,613000,4,"   ","new",2022,47.6949949202774,-122.304361638721,45,"SEATTLE","LR3 (M)","THUMM & MOORES SUBDIV BLK 39&42 MAPLE LF",29,339000,281000,2002,0,1550,1380,560,240,7,7,3,2,3,1,1,1,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"20943",543501,"2022..32759","..2152000065",2022-11-09,1175000,1,"   ","new",2022,47.30881449566,-122.143731340797,58,"KING COUNTY","RA5","EAST AUBURN FIVE-ACRE TRACTS",2,359000,589000,2021,0,173804,2280,1030,0,8,0,3,2,4,3,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"M"
